Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,10p,C32949
"C10, C12, C14, C15, C16, C17, C18, C19, C21, C24, C26, C27, C28, C29, C33, C36, C4, C40, C42, C5, C8, C9",0402,22,0.1u,C1525
"C11, C13, C20, C22, C23, C25, C3, C30, C31, C32, C34, C35, C37, C38, C39, C41, C6, C7",0402,18,4.7u,C23733
D1,D_SOD-523,1,1N4148WT-7,C27748
"D2, D4",LED_Cree-PLCC4_1x1mm_CW,2,MHPA1010RGBDT,C404280
D3,0603,1,LTST-C191KGKT,C125098
"D5, D6, D7",D_SOD-323,3,1N5819WS,C191023
"FID1, FID2, FID3, FID4, FID5, FID6",Fiducial_0.75mm_Mask1.5mm,6,Fiducial,DNP
"H1, H2, H3, H4",MountingHole_2.7mm_M2.5,4,MountingHole,DNP
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C2765186
J2,PinHeader_2x20_P2.54mm_Vertical_Left,1,Conn_02x20_Odd_Even,DNP
J3,PinHeader_2x20_P2.54mm_Vertical_Right,1,Conn_02x20_Odd_Even,DNP
J5,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,BM03B-SRSS-TB,C160389
J6,AMPHENOL_SFV22R-2STE1HLF,1,SFV22R-2STE1HLF,C5373438
L1,L_pol_2016,1,3.3u,C42411119
PTC1,0603,1,MF-FSMF035X-2,C116602
"R1, R12, R17, R18, R19, R2",0402,6,1k,C11702
"R10, R24, R33",0402,3,5.1K,C25905
"R11, R25",0402,2,100,C25076
"R13, R15, R16, R21, R23, R28, R32, R7, R8",0402,9,10K,C25744
"R14, R29",0402,2,2.2K,C25879
"R20, R22",0402,2,51K,C25794
"R26, R34, R4, R5, R6, R9",0402,6,22,C25092
R27,0402,1,DNF,
"R30, R31, SJ1, SJ2, SJ3, SJ4, SJ5, SJ6",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,8,SHORT,DNP
RN1,R_Array_Concave_4x0402,1,10K,C136853
"SW1, SW2",PTS820J25KSMTRLFS,2,CS1213AGF260,C720477
U1,OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm,1,NCP115AMX120TCG,C603500
"U2, U8",SOIC-8_5.23x5.23mm_P1.27mm,2,W25Q32JVSSIQ,C82344
U3,RP2350B_QFN-80_EP_10.573x10.573_Pitch0.4mm,1,RP2350_80QFN,C42415655
U4,SOT-23,1,TL431DBZ,C190245
U5,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,APS6404L-3SQN-SN (substituted  APS6404L-3SQR-ZR have to change package too),C3040877
U6,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,ICE40UP5K-SG48ITR,C2678152
U9,OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm,1,NCP115AMX330TCG,C892047
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
