Designator,Mid X,Mid Y,Rotation,Layer
C1,4.099718,31.868929,0.0,top
C10,10.983118,18.356129,270.0,top
C11,18.679318,27.601729,0.0,top
C12,6.842918,18.914929,180.0,top
C13,14.361318,57.192729,180.0,top
C14,4.810918,53.433529,180.0,top
C15,13.624718,30.725929,270.0,bottom
C16,9.560718,30.725929,90.0,bottom
C17,6.563518,25.391929,270.0,bottom
C18,16.342518,18.813329,0.0,top
C19,18.679318,25.366529,0.0,top
C2,6.004718,31.868929,0.0,top
C20,16.342518,22.420129,270.0,bottom
C21,16.875918,43.171929,270.0,bottom
C22,17.815718,43.171929,270.0,bottom
C23,18.476118,20.743729,0.0,top
C24,12.981647,50.726047,0.0,bottom
C25,12.981647,51.691247,0.0,bottom
C26,12.964318,55.668729,180.0,bottom
C27,6.131718,44.822929,90.0,bottom
C28,17.147247,50.751447,270.0,bottom
C29,7.071518,42.054329,270.0,bottom
C3,5.435718,6.890929,270.0,bottom
C30,6.106318,42.054329,270.0,bottom
C31,15.247718,50.167247,180.0,bottom
C32,10.957718,57.294329,180.0,top
C33,17.180718,46.880329,90.0,bottom
C34,18.120518,46.880329,90.0,bottom
C35,14.513718,17.873529,180.0,top
C36,6.004718,15.384329,180.0,bottom
C37,3.789718,47.847929,0.0,bottom
C38,18.679318,24.426729,180.0,top
C39,3.845718,7.357929,0.0,bottom
C4,11.922918,18.356129,270.0,top
C40,14.675718,45.690929,180.0,top
C41,3.845718,11.040929,180.0,bottom
C42,15.76,9.31,270.0,top
C5,4.302918,24.807729,180.0,top
C6,12.095718,28.690929,180.0,bottom
C7,3.789718,51.403929,180.0,bottom
C8,11.338718,15.485929,0.0,bottom
C9,14.513718,18.813329,180.0,top
D1,15.478918,51.259447,180.0,bottom
D2,10.957718,58.928,270.0,top
D3,17.612518,58.894529,180.0,top
D4,14.386718,58.928,270.0,top
D5,8.417718,8.119929,270.0,bottom
D6,18.831718,13.657129,90.0,top
D7,15.245718,16.090929,0.0,bottom
J1,11.43,1.143,0.0,top
J5,6.792118,15.485929,0.0,top
J6,11.445718,40.390929,180.0,top
L1,18.704718,22.699529,270.0,top
PTC1,6.639718,8.246929,90.0,bottom
R1,4.099718,30.852929,180.0,top
R10,4.963318,1.287329,270.0,bottom
R11,18.120518,45.026129,270.0,bottom
R12,8.316118,18.152929,270.0,bottom
R13,17.495718,35.490929,90.0,top
R14,17.688718,57.395929,0.0,top
R15,16.418718,16.247929,0.0,top
R16,6.512718,23.080529,270.0,bottom
R17,10.957718,56.354529,180.0,top
R18,10.957718,55.389329,180.0,top
R19,10.957718,54.424129,180.0,top
R2,19.238118,15.663729,180.0,bottom
R20,18.933318,1.287329,270.0,bottom
R21,4.808918,52.468329,0.0,top
R22,3.845718,1.287329,270.0,bottom
R23,16.395718,34.090929,270.0,top
R24,17.866518,1.287329,270.0,bottom
R25,14.513718,16.908329,180.0,top
R26,18.501518,19.753129,0.0,top
R28,14.513718,18.787929,0.0,bottom
R29,14.513718,17.873529,180.0,bottom
R32,7.198518,12.592329,270.0,bottom
R33,8.163718,12.592329,90.0,bottom
R34,6.461918,27.982729,90.0,bottom
R4,13.599318,22.394729,90.0,bottom
R5,14.564518,22.394729,90.0,bottom
R6,6.461918,29.862329,270.0,bottom
R7,6.512718,21.071929,270.0,bottom
R8,2.143918,55.158729,270.0,bottom
R9,14.920118,32.021329,180.0,top
RN1,7.300118,53.001729,180.0,top
SW1,6.665118,9.897929,180.0,top
SW2,5.928518,57.497529,270.0,top
U1,3.718718,49.648929,0.0,bottom
U2,15.021718,12.056929,270.0,bottom
U3,11.43,25.4,270.0,top
U4,6.030118,17.797329,270.0,bottom
U5,15.021718,12.056929,270.0,top
U6,11.719718,45.330929,270.0,bottom
U8,7.350918,57.573729,90.0,bottom
U9,3.916718,9.112929,180.0,bottom
Y1,4.861718,34.535929,90.0,top
